Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1400,1050,22-May-25
2,Jaipur,Jaipur (F&V),Onion,Other,FAQ,850,1600,1225,04-Aug-23
3,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1200,1050,07-Apr-21
4,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1600,1250,01-Aug-23
5,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1800,1350,03-Apr-25
6,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1500,1250,22-Mar-21
7,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1800,1400,04-Apr-25
8,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,25-Nov-22
9,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2300,1650,04-Mar-24
10,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2500,1750,01-Nov-22
11,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2200,1700,21-Aug-23
12,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2300,1900,07-Mar-24
13,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2300,1900,18-Oct-22
14,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,10-Mar-21
15,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,20-Dec-23
16,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,22-Dec-23
17,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2800,2150,06-Mar-25
18,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2500,2100,06-Feb-25
19,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2800,2250,13-Oct-23
20,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1800,2700,2250,10-Feb-25
21,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2400,3400,2900,25-Jun-24
22,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3200,2850,16-Jul-24
23,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3300,2900,25-Jul-24
24,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,22-Nov-23
25,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,22-Nov-24
26,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,4500,3500,21-Jan-20
27,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2800,3700,3250,12-Aug-24
28,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4200,3600,18-Nov-24
29,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4400,3700,28-Aug-24
30,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4500,3750,10-Nov-23
31,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4500,3750,17-Nov-23
32,Jaipur,Jaipur (F&V),Onion,Other,FAQ,400,1100,750,15-Jun-20
33,Jaipur,Jaipur (F&V),Onion,Other,FAQ,500,1200,850,09-May-22
34,Jaipur,Jaipur (F&V),Onion,Other,FAQ,500,2500,1500,10-Dec-21
35,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1100,850,16-May-23
36,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1200,900,09-Jun-23
37,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1500,1100,05-Jul-23
38,Jaipur,Jaipur (F&V),Onion,Other,FAQ,850,1650,1250,23-Sep-22
39,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1200,1050,06-Apr-21
40,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1600,1250,02-Aug-23
41,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,07-Oct-22
42,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,25-Apr-24
43,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,1800,1500,27-Mar-24
44,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2000,1600,19-Mar-24
45,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2200,1850,14-Mar-24
46,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,09-Jan-25
47,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,10-Jun-24
48,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,14-Dec-23
49,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,16-Jan-25
50,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,29-Oct-21
51,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,3500,2500,12-Nov-21
52,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2500,2100,11-Jun-24
53,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,3000,2350,19-Oct-23
54,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,08-Feb-21
55,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,4000,3250,08-Dec-23
56,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2800,3800,3300,22-Aug-24
57,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4000,3500,10-Oct-24
58,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,5000,4000,28-Oct-24
59,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3500,4500,4000,04-Sep-24
60,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1480,1090,06-Jul-23
61,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,04-Jul-23
62,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,05-May-25
63,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1600,1200,25-Apr-25
64,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,11-Jul-25
65,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1900,1350,11-Jul-23
66,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,04-Jul-25
67,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,26-Jun-25
68,Jaipur,Jaipur (F&V),Onion,Other,FAQ,850,1650,1250,22-Sep-22
69,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,13-Dec-22
70,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,14-Nov-22
71,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2500,1750,21-Jan-22
72,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1100,1550,1325,19-Dec-22
73,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1100,1700,1400,16-Jan-23
74,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,1800,1500,24-Apr-24
75,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2200,1700,05-Jun-24
76,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2200,1700,11-Mar-24
77,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,3000,2100,11-Nov-22
78,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1250,2000,1625,12-Oct-22
79,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,13-Sep-23
80,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,19-Dec-23
81,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,28-Aug-23
82,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,29-Feb-24
83,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2700,2100,14-Aug-23
84,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1600,1800,1700,29-Jun-20
85,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2000,1850,08-Jul-20
86,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1800,2800,2300,03-Mar-25
87,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2400,3400,2900,24-Jun-24
88,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2400,3700,3050,27-Jun-24
89,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3000,2750,02-Jul-24
90,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3200,2850,29-Jul-24
91,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,08-Jul-24
92,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,11-Jul-24
93,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,21-Nov-23
94,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3700,3100,14-Nov-24
95,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3700,3100,28-Nov-24
96,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4000,3500,30-Aug-24
97,Jaipur,Jaipur (F&V),Onion,Other,FAQ,500,1500,1000,29-Apr-22
98,Jaipur,Jaipur (F&V),Onion,Other,FAQ,500,2500,1500,25-Nov-21
99,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1100,850,12-May-23
100,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1200,900,08-May-23
101,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1400,1050,19-May-25
102,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1100,950,31-Jul-20
103,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,14-May-25
104,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,23-Jul-25
105,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,08-Jul-25
106,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,24-Jun-25
107,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1500,1200,12-Sep-22
108,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,30-May-24
109,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2200,1600,10-Aug-23
110,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,1800,1500,15-Apr-24
111,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,1800,1500,23-Apr-24
112,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2200,1700,22-Aug-23
113,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,23-Jan-25
114,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,25-Aug-23
115,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2800,2150,25-Jan-21
116,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1550,2400,1975,19-Oct-22
117,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2800,2250,09-Oct-23
118,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,2700,2350,11-Feb-25
119,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,3000,2500,04-Mar-25
120,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3000,2750,04-Jul-24
121,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3300,2900,30-Jul-24
122,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,03-Jul-24
123,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,26-Nov-24
124,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3800,3150,07-Dec-23
125,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3800,3150,21-Nov-24
126,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2800,4000,3400,14-Aug-24
127,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4500,3750,03-Nov-23
128,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4500,3750,11-Sep-24
129,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4500,3750,15-Oct-24
130,Jaipur,Jaipur (F&V),Onion,Other,FAQ,400,1400,900,20-Jun-22
131,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1000,800,15-May-23
132,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1100,850,24-Apr-23
133,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1180,890,18-May-23
134,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1200,950,23-May-25
135,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1300,1050,26-Jun-23
136,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1600,1200,16-Apr-25
137,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1600,1200,16-Sep-22
138,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,09-Feb-24
139,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,14-Feb-24
140,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,15-Feb-24
141,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,17-Jun-25
142,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,22-Jul-25
143,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,24-Jul-25
144,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1900,1350,14-Jul-25
145,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,23-Jun-25
146,Jaipur,Jaipur (F&V),Onion,Other,FAQ,850,1600,1225,03-Aug-23
147,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1200,1000,30-Mar-21
148,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1600,1250,24-Jul-23
149,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1600,1250,31-Jul-23
150,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,17-Nov-22
151,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,24-May-24
152,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2400,1700,12-Jan-24
153,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2200,1700,23-Dec-24
154,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1250,2100,1675,09-Dec-22
155,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2200,1850,24-Dec-21
156,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2400,1950,13-Feb-20
157,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,28-Jan-25
158,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2150,04-Feb-21
159,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2800,2150,17-Aug-23
160,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,3500,2750,26-Feb-21
161,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2100,3100,2600,19-Feb-25
162,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,4000,3250,05-Dec-24
163,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4000,3500,23-Aug-24
164,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1100,850,15-Jun-23
165,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1200,900,26-May-25
166,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1800,1200,05-Jun-25
167,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1100,900,14-Jun-23
168,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1100,850,13-Aug-20
169,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,07-May-25
170,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,07-Feb-24
171,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,18-Jun-25
172,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,16-Jun-25
173,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2100,1450,02-Jul-25
174,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2100,1450,27-Jun-25
175,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1200,1050,05-Apr-21
176,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1700,1300,27-Sep-22
